x=-1.9000000000000195, f(x)=-0.08999999999998387, f'(x)=-0.7999900000665859
x=-1.8000000000000194, f(x)=-0.1599999999999886, f'(x)=-0.5999900000386305
x=-1.7000000000000193, f(x)=-0.20999999999999286, f'(x)=-0.3999899999662659
x=-1.6000000000000192, f(x)=-0.23999999999999622, f'(x)=-0.19998999993831032
x=-1.500000000000019, f(x)=-0.24999999999999956, f'(x)=9.999956418482725E-6
x=-1.400000000000019, f(x)=-0.24000000000000377, f'(x)=0.20000999993996513
x=-1.300000000000019, f(x)=-0.21000000000000751, f'(x)=0.4000100000123296
x=-1.2000000000000188, f(x)=-0.16000000000001124, f'(x)=0.6000099999958763
x=-1.1000000000000187, f(x)=-0.09000000000001496, f'(x)=0.8000100000238318
x=-1.0000000000000187, f(x)=-1.865174681370263E-14, f'(x)=1.0000099999851741
x=-0.9000000000000187, f(x)=0.10999999999997745, f'(x)=1.2000099999909253
x=-0.8000000000000187, f(x)=0.23999999999997357, f'(x)=1.4000100000188807
x=-0.7000000000000187, f(x)=0.38999999999997015, f'(x)=1.6000099999802229
x=-0.6000000000000187, f(x)=0.5599999999999663, f'(x)=1.800009999985974
x=-0.5000000000000188, f(x)=0.7499999999999623, f'(x)=2.0000100000361343
x=-0.4000000000000188, f(x)=0.9599999999999587, f'(x)=2.2000099999974765
x=-0.3000000000000188, f(x)=1.1899999999999549, f'(x)=2.4000100000032276
x=-0.2000000000000188, f(x)=1.439999999999951, f'(x)=2.6000100000089787
x=-0.1000000000000188, f(x)=1.7099999999999473, f'(x)=2.800009999992525
x=-1.8790524691780774E-14, f(x)=1.9999999999999436, f'(x)=3.0000100000204806
x=0.09999999999998122, f(x)=2.30999999999994, f'(x)=3.2000099999596183
x=0.19999999999998122, f(x)=2.639999999999936, f'(x)=3.400009999987574
x=0.2999999999999812, f(x)=2.9899999999999327, f'(x)=3.6000099999711206
x=0.39999999999998126, f(x)=3.359999999999929, f'(x)=3.800009999999076
x=0.49999999999998124, f(x)=3.749999999999925, f'(x)=4.000009999982623
x=0.5999999999999812, f(x)=4.159999999999921, f'(x)=4.20000999996617
x=0.6999999999999812, f(x)=4.589999999999917, f'(x)=4.400009999994126
x=0.7999999999999812, f(x)=5.039999999999914, f'(x)=4.600009999933263
x=0.8999999999999811, f(x)=5.509999999999909, f'(x)=4.800009999961219
x=0.9999999999999811, f(x)=5.999999999999906, f'(x)=5.0000099999891745
x=1.0999999999999812, f(x)=6.509999999999902, f'(x)=5.20001000001713
x=1.1999999999999813, f(x)=7.039999999999899, f'(x)=5.4000100001339035
x=1.2999999999999814, f(x)=7.589999999999896, f'(x)=5.6000099999842226
x=1.3999999999999815, f(x)=8.159999999999894, f'(x)=5.80000999992336
x=1.4999999999999816, f(x)=8.74999999999989, f'(x)=6.000009999951316
x=1.5999999999999817, f(x)=9.359999999999886, f'(x)=6.200010000156907
x=1.6999999999999817, f(x)=9.989999999999883, f'(x)=6.400010000007227
x=1.7999999999999818, f(x)=10.63999999999988, f'(x)=6.600010000035183
x=1.899999999999982, f(x)=11.309999999999878, f'(x)=6.800009999885503
x=1.999999999999982, f(x)=11.999999999999874, f'(x)=7.000009999913458
x=2.099999999999982, f(x)=12.70999999999987, f'(x)=7.2000100001190495
x=2.199999999999982, f(x)=13.439999999999866, f'(x)=7.400009999969369
x=2.299999999999982, f(x)=14.189999999999863, f'(x)=7.600010000174961
x=2.399999999999982, f(x)=14.95999999999986, f'(x)=7.800010000202916
x=2.4999999999999822, f(x)=15.749999999999858, f'(x)=8.000010000053237
x=2.5999999999999823, f(x)=16.559999999999857, f'(x)=8.200009999725921
x=2.6999999999999824, f(x)=17.38999999999985, f'(x)=8.400010000286784
x=2.7999999999999825, f(x)=18.23999999999985, f'(x)=8.600010000137104
x=2.8999999999999826, f(x)=19.109999999999847, f'(x)=8.800010000342695
x=2.9999999999999827, f(x)=19.999999999999844, f'(x)=9.000010000193015
x=3.0999999999999828, f(x)=20.90999999999984, f'(x)=9.200010000398606
x=3.199999999999983, f(x)=21.83999999999984, f'(x)=9.400009999893655
x=3.299999999999983, f(x)=22.789999999999836, f'(x)=9.600010000099246
x=3.399999999999983, f(x)=23.759999999999835, f'(x)=9.800009999949566
x=3.499999999999983, f(x)=24.749999999999833, f'(x)=10.000009999799886
x=3.599999999999983, f(x)=25.759999999999827, f'(x)=10.200010000005477
x=3.6999999999999833, f(x)=26.78999999999983, f'(x)=10.400009999855797
x=3.7999999999999834, f(x)=27.839999999999826, f'(x)=10.600010000061388
x=3.8999999999999835, f(x)=28.90999999999982, f'(x)=10.80001000026698
x=3.9999999999999836, f(x)=29.99999999999982, f'(x)=11.000009999762026
x=4.099999999999984, f(x)=31.10999999999982, f'(x)=11.200009999612346
x=4.199999999999983, f(x)=32.23999999999981, f'(x)=11.400009999817938
x=4.299999999999983, f(x)=33.3899999999998, f'(x)=11.600009999312986
x=4.399999999999983, f(x)=34.559999999999796, f'(x)=11.800009999518577
x=4.499999999999982, f(x)=35.74999999999979, f'(x)=12.000009999724169
x=4.599999999999982, f(x)=36.95999999999978, f'(x)=12.200009999219217
x=4.6999999999999815, f(x)=38.18999999999977, f'(x)=12.400009999424809
x=4.799999999999981, f(x)=39.43999999999976, f'(x)=12.6000099996304
x=4.899999999999981, f(x)=40.70999999999975, f'(x)=12.800009999835991
x=4.9999999999999805, f(x)=41.999999999999744, f'(x)=13.00000999933104
x=5.09999999999998, f(x)=43.30999999999973, f'(x)=13.200009999536631
x=5.19999999999998, f(x)=44.63999999999973, f'(x)=13.40000999903168
x=5.299999999999979, f(x)=45.989999999999725, f'(x)=13.600009998526728
x=5.399999999999979, f(x)=47.359999999999715, f'(x)=13.80000999873232
x=5.499999999999979, f(x)=48.7499999999997, f'(x)=14.00000999893791
x=5.599999999999978, f(x)=50.15999999999969, f'(x)=14.200009999854045
x=5.699999999999978, f(x)=51.58999999999968, f'(x)=14.400010000059636
x=5.799999999999978, f(x)=53.03999999999967, f'(x)=14.600009999554684
x=5.899999999999977, f(x)=54.509999999999664, f'(x)=14.800009999760276
x=5.999999999999977, f(x)=55.99999999999965, f'(x)=15.000009999965867
x=6.0999999999999766, f(x)=57.50999999999965, f'(x)=15.200009998750373
x=6.199999999999976, f(x)=59.03999999999964, f'(x)=15.400009998955964
x=6.299999999999976, f(x)=60.58999999999962, f'(x)=15.600009999161555
x=6.3999999999999755, f(x)=62.15999999999961, f'(x)=15.800009999367147
x=6.499999999999975, f(x)=63.7499999999996, f'(x)=16.00000999957274
x=6.599999999999975, f(x)=65.35999999999959, f'(x)=16.200010000488874
x=6.699999999999974, f(x)=66.98999999999958, f'(x)=16.400009998562837
x=6.799999999999974, f(x)=68.63999999999956, f'(x)=16.60000999947897
x=6.899999999999974, f(x)=70.30999999999956, f'(x)=16.80000999897402
x=6.999999999999973, f(x)=71.99999999999955, f'(x)=17.000009998469068
x=7.099999999999973, f(x)=73.70999999999954, f'(x)=17.200009999385202
x=7.199999999999973, f(x)=75.43999999999951, f'(x)=17.400010000301336
x=7.299999999999972, f(x)=77.18999999999951, f'(x)=17.600009999796384
x=7.399999999999972, f(x)=78.9599999999995, f'(x)=17.800009999291433
x=7.499999999999972, f(x)=80.74999999999949, f'(x)=18.00000999878648
x=7.599999999999971, f(x)=82.55999999999948, f'(x)=18.200009999702615
x=7.699999999999971, f(x)=84.38999999999946, f'(x)=18.400009999197664
x=7.7999999999999705, f(x)=86.23999999999945, f'(x)=18.600009998692713
x=7.89999999999997, f(x)=88.10999999999945, f'(x)=18.80000999818776
x=7.99999999999997, f(x)=89.99999999999943, f'(x)=19.000009999103895
x=8.09999999999997, f(x)=91.90999999999941, f'(x)=19.200009998598944
x=8.199999999999969, f(x)=93.8399999999994, f'(x)=19.400009998093992
x=8.299999999999969, f(x)=95.78999999999938, f'(x)=19.600009999010126
x=8.399999999999968, f(x)=97.75999999999937, f'(x)=19.80000999992626
x=8.499999999999968, f(x)=99.74999999999936, f'(x)=20.000009998000223
x=8.599999999999968, f(x)=101.75999999999934, f'(x)=20.200009998916357
x=8.699999999999967, f(x)=103.78999999999934, f'(x)=20.400009998411406
x=8.799999999999967, f(x)=105.83999999999932, f'(x)=20.60000999932754
x=8.899999999999967, f(x)=107.90999999999931, f'(x)=20.80000999882259
x=8.999999999999966, f(x)=109.99999999999929, f'(x)=21.000009999738722
x=9.099999999999966, f(x)=112.10999999999927, f'(x)=21.20000999923377
x=9.199999999999966, f(x)=114.23999999999926, f'(x)=21.400010000149905
x=9.299999999999965, f(x)=116.38999999999925, f'(x)=21.600009998223868
x=9.399999999999965, f(x)=118.55999999999923, f'(x)=21.800009997718913
x=9.499999999999964, f(x)=120.74999999999923, f'(x)=22.000009998635047
x=9.599999999999964, f(x)=122.95999999999921, f'(x)=22.200009998130096
x=9.699999999999964, f(x)=125.18999999999919, f'(x)=22.40000999904623
x=9.799999999999963, f(x)=127.43999999999917, f'(x)=22.600009998541278
x=9.899999999999963, f(x)=129.70999999999916, f'(x)=22.800010000878498
x=9.999999999999963, f(x)=131.99999999999915, f'(x)=23.000009997531375
